image_name,fen,view
game2_frame_000200_black_middle.png,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,black pieces closer to the camera
game2_frame_000200_white_middle.png,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,white pieces closer to the camera
game2_frame_000588_black_middle.png,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,black pieces closer to the camera
game2_frame_000588_white_middle.png,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,white pieces closer to the camera
game2_frame_000620_black_middle.png,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR,black pieces closer to the camera
game2_frame_000620_white_middle.png,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR,white pieces closer to the camera
game2_frame_000840_black_middle.png,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR,black pieces closer to the camera
game2_frame_000840_white_middle.png,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR,white pieces closer to the camera
game2_frame_000872_black_middle.png,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR,black pieces closer to the camera
game2_frame_000872_white_middle.png,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR,white pieces closer to the camera
game2_frame_000896_black_middle.png,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR,black pieces closer to the camera
game2_frame_000896_white_middle.png,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR,white pieces closer to the camera
game2_frame_000936_black_middle.png,rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR,black pieces closer to the camera
game2_frame_000936_white_middle.png,rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR,white pieces closer to the camera
game2_frame_001040_black_middle.png,rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR,black pieces closer to the camera
game2_frame_001040_white_middle.png,rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR,white pieces closer to the camera
game2_frame_001124_black_middle.png,rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR,black pieces closer to the camera
game2_frame_001124_white_middle.png,rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR,white pieces closer to the camera
game2_frame_001152_black_middle.png,rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R,black pieces closer to the camera
